Timestamp,Data
0,> mac: 1C:30:03:46:08:03
1,mac: CE:BD:8D:09:24:B7
2,Starting CSI Collection
3,mac: CE:BD
4,mac: 1C:30:03:46:22:C3
5,mac: 00:00:00:00:00:00
6,mac: CE:BD:8D:09:24:B7
7,> mac: 0
8,mac: CE:BD:8D:09:24:B7
9,mac: CE:BD:8D:09:24:B7
10,mac: 1C:30:03:46:08:03
11,mac: CE:BD:8D:09:24:B7
12,mac: CE:BD:8D:09:24:B7
13,mac: 1C:30:03:46:08:03
14,mac: CE:BD:8D:09:24:B7
15,mac: 1C:30:03:46:22:C3
16,mac: 1C:30:03:46:22:C3
17,mac: CE:BD:8D:09:24:B7
18,mac: 1C:30:03:46:22:C3
19,mac: 1C:30:03:46:22:C3
20,mac: 1C
21,mac: 1C:30:03:46:22:C3
22,mac: CE:BD:8D:09:24:B7
23,mac: CE:BD:8D:09:24:B7
24,mac: 1C:30:03:46:08:03
25,mac: CE:BD:8D:09:24:B7
26,mac: 1C:30:03:46:22:C3
27,mac: 1C:30:03:46:08:03
28,mac: 1C:30:03:46:22:C3
29,mac: CE:BD:8D:09:24:B7
30,mac: 1C:30:03:46:08:03
31,mac: CE:BD:8D:09:24:B7
32,mac: CE:BD:8D:09:24:B7
33,mac: 1C:30:03:46:08:03
34,mac: CE:BD:8D:09:24:B7
35,mac: 1C:30:03:46:08:03
36,mac: CE:BD:8D:09:24:B7
37,mac: CE:BD:8D:09:24:B7
38,mac: 1C:30:03:46:08:03
39,mac: 1C:30:03:46:08:03
40,mac: 1C:30:03:46:22:C3
41,mac: 1C:30:03:46:08:03
42,mac: 1C:30:03:46:08:03
43,mac: 1C:30:03:46:22:C3
44,mac: 1C:30:03:46:08:03
45,mac: 1C:30:03:46:08:03
46,mac: 1C:30:03:46:22:C3
47,mac: 1C:30:03:46:22:C3
48,mac: 1C:30:03:46:22:C3
49,mac: 1C:30:03:46:08:03
50,mac: 1C:30:03:46:08:03
51,mac: 1C:30:03:46:22:C3
52,mac: 1C:30:03:46:08:03
53,mac: 1C:30:03:46:08:03
54,mac: 1C:30:03:46:22:C3
55,mac: 1C:30:03:46:22:C3
56,mac: 1C:30:03:46:08:03
57,mac: 1C:30:03:46:22:C3
58,mac: 1C:30:03:46:22:C3
59,mac: 1C:30:03:46:08:03
60,mac: CE:BD:8D:09:24:B7
61,mac: 1C:30:03:46:08:03
62,mac: 00:00:00:00:00:00
63,mac: CE:BD:8D:09:24:B7
64,mac: 1C:30:03:46:08:03
65,mac: CE:BD:8D:09:24:B7
66,mac: CE:BD:8D:09:24:B7
67,mac: 1C:30:03:46:08:03
68,mac: 00:00:00:00:00:00
69,mac: CE:BD:8D:09:24:B7
70,mac: 1C:30:03:46:08:03
71,mac: 1C:30:03:46:08:03
72,mac: 00:00:00:00:00:00
73,mac: 1C:30:03:46:08:03
